x,y,z,time,object,paired,role
1.0,1.0,0.0,0,LatPulldown1,1,machine
2.0,1.0,0.0,0,Bench1,0,machine
1.0,2.0,0.0,0,BicepCurlMachine1,0,machine
2.0,2.0,0.0,0,ShoulderPress1,1,machine
0.6515626751440375,1.2440132767093437,2.962019103712569,0,Person1,0,person
1.1412817820350059,0.8223464104898723,3.3715873113479535,0,Person2,0,person
1.816597731772892,2.2337843254453116,2.566605779142068,0,Person3,0,person
1.4070899296136499,1.6460365997811421,2.7509978827452377,0,Person4,0,person
1.0,1.0,0.0,1,LatPulldown1,1,machine
2.0,1.0,0.0,1,Bench1,0,machine
1.0,2.0,0.0,1,BicepCurlMachine1,0,machine
2.0,2.0,0.0,1,ShoulderPress1,1,machine
0.6365455414010105,1.21995568855744,2.950736580484605,1,Person1,0,person
1.1135545055043887,0.8435334608527058,3.369933710159412,1,Person2,0,person
1.758227128707427,2.2342459808770037,2.5709563452474518,1,Person3,0,person
1.4203716842658412,1.624628929507018,2.777995916945649,1,Person4,0,person
1.0,1.0,0.0,2,LatPulldown1,1,machine
2.0,1.0,0.0,2,Bench1,0,machine
1.0,2.0,0.0,2,BicepCurlMachine1,0,machine
2.0,2.0,0.0,2,ShoulderPress1,1,machine
0.547229772719893,1.181221437589417,2.959343202991188,2,Person1,0,person
1.155100148781102,0.8903669734413451,3.3760266231557727,2,Person2,0,person
1.7298378565126067,2.226005704597642,2.531129714814791,2,Person3,0,person
1.4213760790979109,1.6758575514169607,2.7837017505120336,2,Person4,0,person
1.0,1.0,0.0,3,LatPulldown1,1,machine
2.0,1.0,0.0,3,Bench1,0,machine
1.0,2.0,0.0,3,BicepCurlMachine1,0,machine
2.0,2.0,0.0,3,ShoulderPress1,1,machine
0.5,1.198567979285318,2.973015778027715,3,Person1,0,person
1.1020619993470546,0.9159926039760808,3.3903940274175604,3,Person2,0,person
1.7324204890353463,2.1276386551257063,2.5322981917916505,3,Person3,0,person
1.4245771590883523,1.7011444106132492,2.783901337809145,3,Person4,0,person
1.0,1.0,0.0,4,LatPulldown1,1,machine
2.0,1.0,0.0,4,Bench1,0,machine
1.0,2.0,0.0,4,BicepCurlMachine1,0,machine
2.0,2.0,0.0,4,ShoulderPress1,1,machine
0.5289529149573297,1.1333835628850453,2.955007273913477,4,Person1,0,person
1.1205393797366239,0.87258488085036,3.379311558854258,4,Person2,0,person
1.6792015810858045,2.125705625630095,2.5637754890332465,4,Person3,0,person
1.4645549652093222,1.692399292680615,2.75368532984015,4,Person4,0,person
1.0,1.0,0.0,5,LatPulldown1,1,machine
2.0,1.0,0.0,5,Bench1,0,machine
1.0,2.0,0.0,5,BicepCurlMachine1,0,machine
2.0,2.0,0.0,5,ShoulderPress1,1,machine
0.5,1.0536922985370007,2.9951201042860984,5,Person1,0,person
1.041786944321356,0.8455726842652046,3.4124547282305477,5,Person2,0,person
1.6684235869101085,2.1095356428746275,2.5841704938253787,5,Person3,0,person
1.419532696913109,1.6791969926374302,2.7384696855654767,5,Person4,0,person
1.0,1.0,0.0,6,LatPulldown1,1,machine
2.0,1.0,0.0,6,Bench1,0,machine
1.0,2.0,0.0,6,BicepCurlMachine1,0,machine
2.0,2.0,0.0,6,ShoulderPress1,1,machine
0.5717203154141799,1.0513650736404714,2.977535889053067,6,Person1,0,person
0.9638370699933118,0.8574055719018087,3.425513071123457,6,Person2,0,person
1.586960723403,2.0919575658150755,2.5717162108270006,6,Person3,0,person
1.3494911770854225,1.6085462300978828,2.736050111305095,6,Person4,0,person
1.0,1.0,0.0,7,LatPulldown1,1,machine
2.0,1.0,0.0,7,Bench1,0,machine
1.0,2.0,0.0,7,BicepCurlMachine1,0,machine
2.0,2.0,0.0,7,ShoulderPress1,1,machine
0.5755988606012686,1.0756094909977496,2.973264386579992,7,Person1,0,person
0.9607487266066421,0.8442254201079298,3.418975425391881,7,Person2,0,person
1.5276900999022547,2.0147506085196145,2.571389262119436,7,Person3,0,person
1.287781413874746,1.5493936325927002,2.7550465359869647,7,Person4,0,person
1.0,1.0,0.0,8,LatPulldown1,1,machine
2.0,1.0,0.0,8,Bench1,0,machine
1.0,2.0,0.0,8,BicepCurlMachine1,0,machine
2.0,2.0,0.0,8,ShoulderPress1,1,machine
0.5588873480847631,0.973085934161525,2.9941013597928396,8,Person1,0,person
0.8639778511107974,0.837398428507265,3.435489934054872,8,Person2,0,person
1.5007710087894004,2.0520614728274618,2.536542858327141,8,Person3,0,person
1.259164119531372,1.4590509003261203,2.777540776973828,8,Person4,0,person
1.0,1.0,0.0,9,LatPulldown1,1,machine
2.0,1.0,0.0,9,Bench1,0,machine
1.0,2.0,0.0,9,BicepCurlMachine1,1,machine
2.0,2.0,0.0,9,ShoulderPress1,1,machine
0.502369337353396,1.0851202300472986,2.9869343593312943,9,Person1,0,person
0.83452318874924,0.9122995357446083,3.4165101739833834,9,Person2,0,person
1.4707129525277391,2.025967636040845,2.5,9,Person3,0,person
1.2658939631776223,1.4909237271600049,2.768050673130884,9,Person4,0,person
1.0,1.0,0.0,10,LatPulldown1,1,machine
2.0,1.0,0.0,10,Bench1,0,machine
1.0,2.0,0.0,10,BicepCurlMachine1,1,machine
2.0,2.0,0.0,10,ShoulderPress1,1,machine
0.5,1.1426659448259198,2.980220571180561,10,Person1,0,person
0.8650564560677239,0.9099038387549129,3.4078551880206525,10,Person2,0,person
1.4845397234374773,2.032693049679951,2.5,10,Person3,0,person
1.2593466739946206,1.47761148844215,2.7901314429980753,10,Person4,0,person
1.0,1.0,0.0,11,LatPulldown1,1,machine
2.0,1.0,0.0,11,Bench1,0,machine
1.0,2.0,0.0,11,BicepCurlMachine1,1,machine
2.0,2.0,0.0,11,ShoulderPress1,1,machine
0.5177781817043107,1.0686384749511437,2.9890242069187973,11,Person1,0,person
0.7896655210199274,0.9170766026482945,3.412515784638543,11,Person2,0,person
1.5656984594368453,2.087783648232997,2.5,11,Person3,0,person
1.2673925267546693,1.4589229900911402,2.7927772035405463,11,Person4,0,person
1.0,1.0,0.0,12,LatPulldown1,1,machine
2.0,1.0,0.0,12,Bench1,0,machine
1.0,2.0,0.0,12,BicepCurlMachine1,1,machine
2.0,2.0,0.0,12,ShoulderPress1,1,machine
0.5293394651445432,1.1024608284028488,2.934570041987121,12,Person1,0,person
0.7407278847782294,0.9257184678377275,3.419067017965645,12,Person2,0,person
1.6836233782821586,2.0889234167228143,2.5,12,Person3,0,person
1.2496352583873318,1.4118475934519494,2.806404827962733,12,Person4,0,person
1.0,1.0,0.0,13,LatPulldown1,1,machine
2.0,1.0,0.0,13,Bench1,0,machine
1.0,2.0,0.0,13,BicepCurlMachine1,1,machine
2.0,2.0,0.0,13,ShoulderPress1,1,machine
0.5531131969918511,1.094531622217565,2.929785852103257,13,Person1,0,person
